23:28:25.46 | INFO | 
--- Mst Train ---
23:28:25.50 | INFO | instance_num1: 0 | label: 0 | pred: 0 | correct: True | pred score: 24.0 | gen adv example: True | pred score idx: {0: 24.0, 1: 13.0, 2: 16.0}
23:28:25.50 | INFO | instance_num1: 1 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 15.0, 2: 15.0}
23:28:25.51 | INFO | instance_num1: 2 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 14.0, 2: 15.0}
23:28:25.51 | INFO | instance_num1: 3 | label: 2 | pred: 0 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 20.0, 1: 14.0, 2: 20.0}
23:28:25.51 | INFO | instance_num1: 4 | label: 2 | pred: 0 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 20.0, 1: 17.0, 2: 20.0}
23:28:25.52 | INFO | instance_num1: 5 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 13.0, 2: 15.0}
23:28:25.52 | INFO | instance_num1: 6 | label: 0 | pred: 0 | correct: True | pred score: 26.0 | gen adv example: False | pred score idx: {0: 26.0, 1: 14.0, 2: 14.0}
23:28:25.53 | INFO | instance_num1: 7 | label: 0 | pred: 0 | correct: True | pred score: 23.0 | gen adv example: True | pred score idx: {0: 23.0, 1: 15.0, 2: 17.0}
23:28:25.54 | INFO | instance_num1: 8 | label: 0 | pred: 0 | correct: True | pred score: 26.0 | gen adv example: False | pred score idx: {0: 26.0, 1: 14.0, 2: 14.0}
23:28:25.54 | INFO | instance_num1: 9 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 13.0, 2: 13.0}
23:28:25.70 | INFO | 
--- Adv Train ---
23:28:25.73 | INFO | instance_num1: 0 | label: 0 | pred: 0 | correct: True | pred score: 24.0 | gen adv example: False | pred score idx: {0: 24.0, 1: 0.0, 2: 3.0}
23:28:25.73 | INFO | instance_num1: 1 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 2.0, 2: 2.0}
23:28:25.74 | INFO | instance_num1: 2 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 1.0, 2: 2.0}
23:28:25.74 | INFO | instance_num1: 3 | label: 2 | pred: 0 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 20.0, 1: 1.0, 2: 7.0}
23:28:25.74 | INFO | instance_num1: 4 | label: 2 | pred: 0 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 20.0, 1: 4.0, 2: 7.0}
23:28:25.74 | INFO | instance_num1: 5 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 0.0, 2: 2.0}
23:28:25.75 | INFO | instance_num1: 6 | label: 0 | pred: 0 | correct: True | pred score: 26.0 | gen adv example: False | pred score idx: {0: 26.0, 1: 1.0, 2: 1.0}
23:28:25.75 | INFO | instance_num1: 7 | label: 0 | pred: 0 | correct: True | pred score: 23.0 | gen adv example: False | pred score idx: {0: 23.0, 1: 2.0, 2: 4.0}
23:28:25.76 | INFO | instance_num1: 8 | label: 0 | pred: 0 | correct: True | pred score: 26.0 | gen adv example: False | pred score idx: {0: 26.0, 1: 1.0, 2: 1.0}
23:28:25.76 | INFO | instance_num1: 9 | label: 0 | pred: 0 | correct: True | pred score: 25.0 | gen adv example: False | pred score idx: {0: 25.0, 1: 0.0, 2: 0.0}
