20:26:29.62 | INFO | Lazy Con: OFF
20:26:29.63 | INFO | Optimised - caller: model_optimize
20:26:29.78 | INFO | Lazy Con: OFF
20:26:29.80 | INFO | Optimised - caller: model_optimize
20:26:29.86 | INFO | Lazy Con: OFF
20:26:29.88 | INFO | Optimised - caller: adv_train
20:26:29.88 | INFO | Lazy Con: OFF
20:26:29.90 | INFO | Optimised - caller: adv_train
20:26:29.91 | INFO | Lazy Con: OFF
20:26:29.93 | INFO | Optimised - caller: adv_train
20:26:29.94 | INFO | Lazy Con: OFF
20:26:29.96 | INFO | Optimised - caller: adv_train
20:26:29.97 | INFO | Lazy Con: OFF
20:26:29.99 | INFO | Optimised - caller: adv_train
20:26:30.00 | INFO | Lazy Con: OFF
20:26:30.02 | INFO | Optimised - caller: adv_train
20:26:30.02 | INFO | Lazy Con: OFF
20:26:30.04 | INFO | Optimised - caller: adv_train
20:26:30.05 | INFO | Lazy Con: OFF
20:26:30.07 | INFO | Optimised - caller: adv_train
20:26:30.08 | INFO | Lazy Con: OFF
20:26:30.09 | INFO | Optimised - caller: adv_train
20:26:30.10 | INFO | Lazy Con: OFF
20:26:30.12 | INFO | Optimised - caller: adv_train
20:26:30.13 | INFO | Lazy Con: OFF
20:26:30.15 | INFO | Optimised - caller: adv_train
20:26:30.16 | INFO | Lazy Con: OFF
20:26:30.19 | INFO | Optimised - caller: adv_train
20:26:30.20 | INFO | Lazy Con: OFF
20:26:30.22 | INFO | Optimised - caller: adv_train
20:26:30.23 | INFO | Lazy Con: OFF
20:26:30.26 | INFO | Optimised - caller: adv_train
20:26:30.27 | INFO | Lazy Con: OFF
20:26:30.30 | INFO | Optimised - caller: adv_train
20:26:30.31 | INFO | Lazy Con: OFF
20:26:30.35 | INFO | Optimised - caller: adv_train
20:26:30.35 | INFO | Lazy Con: OFF
20:26:30.38 | INFO | Optimised - caller: adv_train
20:26:30.39 | INFO | Lazy Con: OFF
20:26:30.43 | INFO | Optimised - caller: adv_train
20:26:30.44 | INFO | Lazy Con: OFF
20:26:30.49 | INFO | Optimised - caller: adv_train
20:26:30.50 | INFO | Lazy Con: OFF
20:26:30.52 | INFO | Optimised - caller: adv_train
20:26:30.53 | INFO | Lazy Con: OFF
20:26:30.55 | INFO | Optimised - caller: adv_train
20:26:30.56 | INFO | Lazy Con: OFF
20:26:30.59 | INFO | Optimised - caller: adv_train
20:26:30.60 | INFO | Lazy Con: OFF
20:26:30.62 | INFO | Optimised - caller: adv_train
20:26:30.63 | INFO | Lazy Con: OFF
20:26:30.67 | INFO | Optimised - caller: adv_train
20:26:30.68 | INFO | Lazy Con: OFF
20:26:30.72 | INFO | Optimised - caller: adv_train
20:26:30.73 | INFO | Lazy Con: OFF
20:26:30.76 | INFO | Optimised - caller: adv_train
20:26:30.77 | INFO | Lazy Con: OFF
20:26:30.79 | INFO | Optimised - caller: adv_train
20:26:30.80 | INFO | Lazy Con: OFF
20:26:30.83 | INFO | Optimised - caller: adv_train
20:26:30.83 | INFO | Lazy Con: OFF
20:26:30.87 | INFO | Optimised - caller: adv_train
20:26:30.87 | INFO | Lazy Con: OFF
20:26:30.91 | INFO | Optimised - caller: adv_train
20:26:30.92 | INFO | Lazy Con: OFF
20:26:30.96 | INFO | Optimised - caller: adv_train
20:26:30.97 | INFO | Lazy Con: OFF
20:26:31.02 | INFO | Optimised - caller: adv_train
20:26:31.03 | INFO | Lazy Con: OFF
20:26:31.05 | INFO | Optimised - caller: adv_train
20:26:31.06 | INFO | Lazy Con: OFF
20:26:31.09 | INFO | Optimised - caller: adv_train
20:26:31.10 | INFO | Lazy Con: OFF
20:26:31.13 | INFO | Optimised - caller: adv_train
20:26:31.14 | INFO | Lazy Con: OFF
20:26:31.17 | INFO | Optimised - caller: adv_train
20:26:31.18 | INFO | Lazy Con: OFF
20:26:31.21 | INFO | Optimised - caller: adv_train
20:26:31.22 | INFO | Lazy Con: OFF
20:26:31.27 | INFO | Optimised - caller: adv_train
20:26:31.28 | INFO | Lazy Con: OFF
20:26:31.33 | INFO | Optimised - caller: adv_train
20:26:31.34 | INFO | Lazy Con: OFF
20:26:31.39 | INFO | Optimised - caller: adv_train
20:26:31.40 | INFO | Lazy Con: OFF
20:26:31.45 | INFO | Optimised - caller: adv_train
20:26:31.46 | INFO | Lazy Con: OFF
20:26:31.49 | INFO | Optimised - caller: adv_train
20:26:31.50 | INFO | Lazy Con: OFF
20:26:31.56 | INFO | Optimised - caller: adv_train
20:26:31.57 | INFO | Lazy Con: OFF
20:26:31.60 | INFO | Optimised - caller: adv_train
20:26:31.61 | INFO | Lazy Con: OFF
20:26:31.66 | INFO | Optimised - caller: adv_train
20:26:31.67 | INFO | Lazy Con: OFF
20:26:31.71 | INFO | Optimised - caller: adv_train
20:26:31.72 | INFO | Lazy Con: OFF
20:26:31.76 | INFO | Optimised - caller: adv_train
20:26:31.77 | INFO | Lazy Con: OFF
20:26:31.81 | INFO | Optimised - caller: adv_train
20:26:31.82 | INFO | Lazy Con: OFF
20:26:31.86 | INFO | Optimised - caller: adv_train
20:26:31.87 | INFO | Lazy Con: OFF
20:26:31.93 | INFO | Optimised - caller: adv_train
20:26:31.94 | INFO | Lazy Con: OFF
20:26:32.01 | INFO | Optimised - caller: adv_train
20:26:32.02 | INFO | Lazy Con: OFF
20:26:32.08 | INFO | Optimised - caller: adv_train
20:26:32.09 | INFO | Lazy Con: OFF
20:26:32.16 | INFO | Optimised - caller: adv_train
20:26:32.17 | INFO | Lazy Con: OFF
20:26:32.25 | INFO | Optimised - caller: adv_train
20:26:32.26 | INFO | Lazy Con: OFF
20:26:32.32 | INFO | Optimised - caller: adv_train
20:26:32.32 | INFO | Lazy Con: OFF
20:26:32.39 | INFO | Optimised - caller: adv_train
20:26:32.40 | INFO | Lazy Con: OFF
20:26:32.50 | INFO | Optimised - caller: adv_train
20:26:32.51 | INFO | Lazy Con: OFF
20:26:32.58 | INFO | Optimised - caller: adv_train
20:26:32.59 | INFO | Lazy Con: OFF
20:26:32.69 | INFO | Optimised - caller: adv_train
20:26:32.70 | INFO | Lazy Con: OFF
20:26:32.80 | INFO | Optimised - caller: adv_train
20:26:32.81 | INFO | Lazy Con: OFF
20:26:32.93 | INFO | Optimised - caller: adv_train
20:26:32.94 | INFO | Lazy Con: OFF
20:26:33.00 | INFO | Optimised - caller: adv_train
20:26:33.01 | INFO | Lazy Con: OFF
20:26:33.08 | INFO | Optimised - caller: adv_train
20:26:33.09 | INFO | Lazy Con: OFF
20:26:33.15 | INFO | Optimised - caller: adv_train
20:26:33.16 | INFO | Lazy Con: OFF
20:26:33.23 | INFO | Optimised - caller: adv_train
