21:46:03.72 | INFO | 
--- Mst Train ---
21:46:03.77 | INFO | instance_num1: 0 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 7.0, 1: 12.0, 2: 8.0}
21:46:03.78 | INFO | instance_num1: 1 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 5.0, 1: 10.0, 2: 10.0}
21:46:03.79 | INFO | instance_num1: 2 | label: 2 | pred: 2 | correct: True | pred score: 14.0 | gen adv example: False | pred score idx: {0: 5.0, 1: 6.0, 2: 14.0}
21:46:03.80 | INFO | instance_num1: 3 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 8.0, 1: 12.0, 2: 8.0}
21:46:03.81 | INFO | instance_num1: 4 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 5.0, 1: 12.0, 2: 8.0}
21:46:03.82 | INFO | instance_num1: 5 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 7.0, 1: 12.0, 2: 8.0}
21:46:03.82 | INFO | instance_num1: 6 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: True | pred score idx: {0: 8.0, 1: 12.0, 2: 8.0}
21:46:03.83 | INFO | instance_num1: 7 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 8.0, 1: 10.0, 2: 10.0}
21:46:03.84 | INFO | instance_num1: 8 | label: 1 | pred: 1 | correct: True | pred score: 14.0 | gen adv example: False | pred score idx: {0: 6.0, 1: 14.0, 2: 6.0}
21:46:03.85 | INFO | instance_num1: 9 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 6.0, 1: 10.0, 2: 10.0}
22:00:32.02 | INFO | 
--- Adv Train ---
22:00:32.13 | INFO | instance_num1: 0 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 7.0, 1: 12.0, 2: 8.0}
22:00:32.14 | INFO | instance_num1: 1 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 5.0, 1: 10.0, 2: 10.0}
22:00:32.15 | INFO | instance_num1: 2 | label: 2 | pred: 2 | correct: True | pred score: 14.0 | gen adv example: False | pred score idx: {0: 5.0, 1: 6.0, 2: 14.0}
22:00:32.17 | INFO | instance_num1: 3 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 8.0, 1: 12.0, 2: 8.0}
22:00:32.18 | INFO | instance_num1: 4 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 5.0, 1: 12.0, 2: 8.0}
22:00:32.19 | INFO | instance_num1: 5 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: False | pred score idx: {0: 7.0, 1: 12.0, 2: 8.0}
22:00:32.21 | INFO | instance_num1: 6 | label: 1 | pred: 1 | correct: True | pred score: 12.0 | gen adv example: True | pred score idx: {0: 8.0, 1: 12.0, 2: 8.0}
22:00:32.22 | INFO | instance_num1: 7 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 8.0, 1: 10.0, 2: 10.0}
22:00:32.24 | INFO | instance_num1: 8 | label: 1 | pred: 1 | correct: True | pred score: 14.0 | gen adv example: False | pred score idx: {0: 6.0, 1: 14.0, 2: 6.0}
22:00:32.25 | INFO | instance_num1: 9 | label: 1 | pred: 1 | correct: True | pred score: 10.0 | gen adv example: True | pred score idx: {0: 6.0, 1: 10.0, 2: 10.0}
